         ps       /delay_tb/rst       /delay_tb/din_i                  
          delta     /delay_tb/ena         /delay_tb/din_iMinus         
                      /delay_tb/clk                                    
                               /delay_tb/din                           
 1015000000  +3               0 1 1 00000101 00000101 00000101 
 1020000000  +1               0 1 0 00000110 00000101 00000101 
 1020000000  +2               0 1 0 00000110 00000110 00000101 
 1025000000  +1               0 1 1 00000110 00000110 00000101 
 1025000000  +3               0 1 1 00000110 00000110 00000110 
 1030000000  +1               0 1 0 00000111 00000110 00000110 
 1030000000  +2               0 1 0 00000111 00000111 00000110 
 1035000000  +1               0 1 1 00000111 00000111 00000110 
 1035000000  +3               0 1 1 00000111 00000111 00000111 
 1040000000  +1               0 1 0 00001000 00000111 00000111 
 1040000000  +2               0 1 0 00001000 00001000 00000111 
 1045000000  +1               0 1 1 00001000 00001000 00000111 
 1045000000  +3               0 1 1 00001000 00001000 00001000 
 1050000000  +1               0 1 0 00001001 00001000 00001000 
 1050000000  +2               0 1 0 00001001 00001001 00001000 
 1055000000  +1               0 1 1 00001001 00001001 00001000 
 1055000000  +3               0 1 1 00001001 00001001 00001001 
 1060000000  +1               0 1 0 00001010 00001001 00001001 
 1060000000  +2               0 1 0 00001010 00001010 00001001 
 1065000000  +1               0 1 1 00001010 00001010 00001001 
 1065000000  +3               0 1 1 00001010 00001010 00001010 
 1070000000  +1               0 1 0 00001011 00001010 00001010 
 1070000000  +2               0 1 0 00001011 00001011 00001010 
 1075000000  +1               0 1 1 00001011 00001011 00001010 
 1075000000  +3               0 1 1 00001011 00001011 00001011 
 1080000000  +1               0 1 0 00000000 00001011 00001011 
 1080000000  +2               0 1 0 00000000 00000000 00001011 
 1085000000  +1               0 1 1 00000000 00000000 00001011 
 1085000000  +3               0 1 1 00000000 00000000 00000000 
 1090000000  +1               0 1 0 00000001 00000000 00000000 
 1090000000  +2               0 1 0 00000001 00000001 00000000 
 1095000000  +1               0 1 1 00000001 00000001 00000000 
 1095000000  +3               0 1 1 00000001 00000001 00000001 
 1100000000  +1               0 1 0 00000010 00000001 00000001 
 1100000000  +2               0 1 0 00000010 00000010 00000001 
 1105000000  +1               0 1 1 00000010 00000010 00000001 
 1105000000  +3               0 1 1 00000010 00000010 00000010 
 1110000000  +1               0 1 0 00000011 00000010 00000010 
 1110000000  +2               0 1 0 00000011 00000011 00000010 
 1115000000  +1               0 1 1 00000011 00000011 00000010 
 1115000000  +3               0 1 1 00000011 00000011 00000011 
 1120000000  +1               0 1 0 00000100 00000011 00000011 
 1120000000  +2               0 1 0 00000100 00000100 00000011 
 1125000000  +1               0 1 1 00000100 00000100 00000011 
 1125000000  +3               0 1 1 00000100 00000100 00000100 
 1130000000  +1               0 1 0 00000101 00000100 00000100 
