         ps       /tb_final/rst  /tb_final/detector         
          delta     /tb_final/ena                           
                      /tb_final/clk                         
                               /tb_final/din                
                                /tb_final/cond              
          0  +0               U U U UUUUUUUU 0    U 
 1975000000  +1               0 1 1 01110001 0    0 
 1980000000  +1               0 1 0 01110001 0    0 
 1985000000  +1               0 1 1 01110001 0    0 
 1990000000  +1               0 1 0 01110001 0    0 
 1995000000  +1               0 1 1 01110001 0    0 
 2000000000  +1               0 1 0 01110001 0    0 
 2005000000  +1               0 1 1 01110001 0    0 
 2010000000  +1               0 1 0 01110001 0    0 
 2015000000  +1               0 1 1 01110001 0    0 
 2020000000  +1               0 1 0 01110001 0    0 
 2025000000  +1               0 1 1 01110001 0    0 
 2030000000  +1               0 1 0 01110001 0    0 
 2035000000  +1               0 1 1 01110001 0    0 
 2040000000  +1               0 1 0 01110001 0    0 
 2045000000  +1               0 1 1 01110001 0    0 
 2050000000  +1               0 1 0 01110001 0    0 
 2055000000  +1               0 1 1 01110001 0    0 
 2060000000  +1               0 1 0 01110001 0    0 
 2065000000  +1               0 1 1 01110001 0    0 
 2070000000  +1               0 1 0 01110001 0    0 
 2075000000  +1               0 1 1 01110001 0    0 
 2080000000  +1               0 1 0 01110001 0    0 
 2085000000  +1               0 1 1 01110001 0    0 
 2090000000  +1               0 1 0 01110001 0    0 
 2095000000  +1               0 1 1 01110001 0    0 
 2100000000  +1               0 1 0 01110001 0    0 
 2105000000  +1               0 1 1 01110001 0    0 
 2110000000  +1               0 1 0 01110001 0    0 
 2115000000  +1               0 1 1 01110001 0    0 
 2120000000  +1               0 1 0 01110001 0    0 
 2125000000  +1               0 1 1 01110001 0    0 
 2130000000  +1               0 1 0 01110001 0    0 
 2135000000  +1               0 1 1 01110001 0    0 
 2140000000  +1               0 1 0 01110001 0    0 
 2145000000  +1               0 1 1 01110001 0    0 
 2150000000  +1               0 1 0 01110001 0    0 
 2155000000  +1               0 1 1 01110001 0    0 
 2160000000  +1               0 1 0 01110001 0    0 
 2165000000  +1               0 1 1 01110001 0    0 
 2170000000  +1               0 1 0 01110001 0    0 
 2175000000  +1               0 1 1 01110001 0    0 
 2180000000  +1               0 1 0 01110001 0    0 
 2185000000  +1               0 1 1 01110001 0    0 
 2190000000  +1               0 1 0 01110001 0    0 
 2195000000  +1               0 1 1 01110001 0    0 
 2200000000  +1               0 1 0 01110001 0    0 
 2205000000  +1               0 1 1 01110001 0    0 
 2210000000  +1               0 1 0 01110001 0    0 
 2215000000  +1               0 1 1 01110001 0    0 
 2220000000  +1               0 1 0 01110001 0    0 
 2225000000  +1               0 1 1 01110001 0    0 
 2230000000  +1               0 1 0 01110001 0    0 
 2235000000  +1               0 1 1 01110001 0    0 
 2240000000  +1               0 1 0 01110001 0    0 
 2245000000  +1               0 1 1 01110001 0    0 
 2250000000  +1               0 1 0 01110001 0    0 
 2255000000  +1               0 1 1 01110001 0    0 
 2260000000  +1               0 1 0 01110001 0    0 
 2265000000  +1               0 1 1 01110001 0    0 
 2270000000  +1               0 1 0 01110001 0    0 
 2275000000  +1               0 1 1 01110001 0    0 
 2280000000  +1               0 1 0 01110001 0    0 
 2285000000  +1               0 1 1 01110001 0    0 
 2290000000  +1               0 1 0 01110001 0    0 
 2295000000  +1               0 1 1 01110001 0    0 
 2300000000  +1               0 1 0 01110001 0    0 
 2305000000  +1               0 1 1 01110001 0    0 
 2310000000  +1               0 1 0 01110001 0    0 
 2315000000  +1               0 1 1 01110001 0    0 
 2320000000  +1               0 1 0 01110001 0    0 
 2325000000  +1               0 1 1 01110001 0    0 
 2330000000  +1               0 1 0 01110001 0    0 
 2335000000  +1               0 1 1 01110001 0    0 
 2340000000  +1               0 1 0 01110001 0    0 
 2345000000  +1               0 1 1 01110001 0    0 
 2350000000  +1               0 1 0 01110001 0    0 
 2355000000  +1               0 1 1 01110001 0    0 
 2360000000  +1               0 1 0 01110001 0    0 
 2365000000  +1               0 1 1 01110001 0    0 
 2370000000  +1               0 1 0 01110001 0    0 
 2375000000  +1               0 1 1 01110001 0    0 
 2380000000  +1               0 1 0 01110001 0    0 
 2385000000  +1               0 1 1 01110001 0    0 
 2390000000  +1               0 1 0 01110001 0    0 
 2395000000  +1               0 1 1 01110001 0    0 
 2400000000  +1               0 1 0 01110001 0    0 
 2405000000  +1               0 1 1 01110001 0    0 
 2410000000  +1               0 1 0 01110001 0    0 
 2415000000  +1               0 1 1 01110001 0    0 
 2420000000  +1               0 1 0 01110001 0    0 
 2425000000  +1               0 1 1 01110001 0    0 
 2430000000  +1               0 1 0 01110001 0    0 
 2435000000  +1               0 1 1 01110001 0    0 
 2440000000  +1               0 1 0 01110001 0    0 
 2445000000  +1               0 1 1 01110001 0    0 
 2450000000  +1               0 1 0 01110001 0    0 
 2455000000  +1               0 1 1 01110001 0    0 
 2460000000  +1               0 1 0 01110001 0    0 
 2465000000  +1               0 1 1 01110001 0    0 
 2470000000  +1               0 1 0 01110001 0    0 
 2475000000  +1               0 1 1 01110001 0    0 
 2480000000  +1               0 1 0 01110001 0    0 
 2485000000  +1               0 1 1 01110001 0    0 
 2490000000  +1               0 1 0 01110001 0    0 
 2495000000  +1               0 1 1 01110001 0    0 
 2500000000  +1               0 1 0 01110001 0    0 
 2505000000  +1               0 1 1 01110001 0    0 
 2510000000  +1               0 1 0 01110001 0    0 
 2515000000  +1               0 1 1 01110001 0    0 
 2520000000  +1               0 1 0 01110001 0    0 
 2525000000  +1               0 1 1 01110001 0    0 
 2530000000  +1               0 1 0 01110001 0    0 
 2535000000  +1               0 1 1 01110001 0    0 
 2540000000  +1               0 1 0 01110001 0    0 
 2545000000  +1               0 1 1 01110001 0    0 
 2550000000  +1               0 1 0 01110001 0    0 
 2555000000  +1               0 1 1 01110001 0    0 
 2560000000  +1               0 1 0 01110001 0    0 
 2565000000  +1               0 1 1 01110001 0    0 
 2570000000  +1               0 1 0 01110001 0    0 
 2575000000  +1               0 1 1 01110001 0    0 
 2580000000  +1               0 1 0 01110001 0    0 
 2585000000  +1               0 1 1 01110001 0    0 
 2590000000  +1               0 1 0 01110001 0    0 
 2595000000  +1               0 1 1 01110001 0    0 
